Region,Sector,Subsector,Energético,Energia estimada
VII,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Aviacion,0.13075
VII,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Motor,3.21078
VII,Industrial y Minero y Cmrcl pub Residencial,Industrial y minero y comercial,Kerosene,0.78542
VII,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Kerosene Aviacion,1.24525
VII,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Petróleo Combustible,41.52825
VII,"Sector Cmrcl., Púb. Y Residencial",Residencial,Kerosene,9.88834
VII,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Licuado,19.526132999999998
VII,Industrial y Minero,"Todos, IM",Gas Licuado,35.125596
VII,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Licuado,51.876993
VII,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Licuado,1.6035169999999999
VII,Transporte,Terrestre,Gas Licuado,1.632329
VII,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Natural,0.2785552
VII,Industrial y Minero,"Todos, IM",Gas Natural,3.1422832400000003
VII,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Natural,1.03208308
VII,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Natural,0.0
VII,Transporte,"Todos, T",Gas Natural,0.0
VII,Energético: Consumo Propio,"Todos, CP",Gas Natural,2e-05
VIII,Transporte,Terrestre,Diesel,487.13363
VIII,Transporte,Terrestre,Gasolina Aviacion,0.0
VIII,Transporte,Terrestre,Gasolina Motor,433.1237499999999
VIII,Transporte,Terrestre,Kerosene,10.96506
VIII,Transporte,Terrestre,Kerosene Aviacion,0.0
VIII,Transporte,Terrestre,Petróleo Combustible,0.28995
VIII,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Diesel,324.85386
VIII,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Aviacion,0.11044
VIII,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Motor,32.999489999999994
VIII,Industrial y Minero y Cmrcl pub Residencial,Industrial y minero y comercial,Kerosene,0.6951999999999999
VIII,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Kerosene Aviacion,8.70453
VIII,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Petróleo Combustible,131.88769
VIII,"Sector Cmrcl., Púb. Y Residencial",Residencial,Kerosene,10.86816
VIII,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Licuado,30.555673
VIII,Industrial y Minero,"Todos, IM",Gas Licuado,27.966039
VIII,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Licuado,49.323384000000004
VIII,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Licuado,2.369449
VIII,Transporte,Terrestre,Gas Licuado,1.576478
VIII,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Natural,10.181382203
VIII,Industrial y Minero,"Todos, IM",Gas Natural,0.0
VIII,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Natural,18.643072
VIII,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Natural,3.96054801
VIII,Transporte,"Todos, T",Gas Natural,0.0
VIII,Energético: Consumo Propio,"Todos, CP",Gas Natural,0.031840389999999996
IX,Transporte,Terrestre,Diesel,341.64208
IX,Transporte,Terrestre,Gasolina Aviacion,0.00011
IX,Transporte,Terrestre,Gasolina Motor,283.85656
IX,Transporte,Terrestre,Kerosene,8.11932
IX,Transporte,Terrestre,Kerosene Aviacion,0.0003
