Sector,Subsector,Energético,Unidad,SEC Tcal,BNE Tcal,Dif %,Emisiones SEC CO2eq (Millt),Emisiones SEC CO2 ajustadas con PCI (Millt),Emisiones BNE CO2eq (Millt),Emisiones BNE CO2 BNE ajustadas con PCI (Millt),Categoría INGEI
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Coque de Petróleo,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Electricidad,Gwh,,0.0,,,,,,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Coque Mineral,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Gas Coque,Mil m3,,141.563,,,,0.06023808864355951,0.060207253526799995,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Alquitrán,Mil m3,,145.48,,,,0.04666509005279999,0.04666509005279999,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Gas Altos Hornos,Mil m3,,273.977,,,,0.26829536220295774,0.268238825712,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0,Industria de la energía
Siderurgia Altos Hornos,Siderurgia Altos Hornos,Metanol,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Gas Natural,Millones m3,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Carbón,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
