nombre_region,cod_region,Categoría INGEI,BNE Tcal,SEC Tcal,Emisiones BNE CO2eq (Millt),Emisiones BNE CO2 BNE ajustadas con PCI (Millt),Emisiones SEC CO2eq (Millt),Emisiones SEC CO2 ajustadas con PCI (Millt)
Región de Magallanes y de la Antártica Chilena,12,Industrias manufactureras y de la construcción,400.6555432764264,455.5989311071429,0.09160517702897053,0.09133140943022947,0.1273294744171017,0.1268888896160776
Región de Magallanes y de la Antártica Chilena,12,Metanol,1183.11296,0.0,0.23949564875308796,0.23926193121599998,0,0.0
Región de Magallanes y de la Antártica Chilena,12,Otros sectores,3603.3094321748827,3127.870064638857,0.6977120209184536,0.690112425590445,0.6831503464155245,0.6812234752062745
Región de Magallanes y de la Antártica Chilena,12,Transporte,1367.4095973429946,544.89342852,0.3876162532268386,0.37814766899908636,0.1633264610813745,0.1605963235805059
Región de Tarapacá,1,Industria de la energía,1260.9001975807034,0.0,0.00016996074648164774,0.0001693806007801901,0,0.0
Región de Tarapacá,1,Industrias manufactureras y de la construcción,4965.8403705353985,4221.972345804394,0.9586798617674597,0.9553247386865312,1.2472166201532473,1.2427356137095584
Región de Tarapacá,1,Otros sectores,836.4532753104936,147.25012698560678,0.06149630379716608,0.060293960509172226,0.043539776881693866,0.043391130919511516
Región de Tarapacá,1,Transporte,2367.0854143692773,1523.8664078400006,0.6971466350668604,0.6820983703758966,0.4567640102199517,0.44912882027527207
Región de Valparaíso,5,Industria de la energía,27009.90913661139,0.0,6.643033649767922,6.637108771889566,0,0.0
Región de Valparaíso,5,Industrias manufactureras y de la construcción,5175.065900137146,3614.6153870182598,0.7710366704201446,0.7674029184152015,0.9694799198614736,0.9667802675385273
Región de Valparaíso,5,Otros sectores,4704.887245303738,422.3717325153,0.14754934982321025,0.1270258705375887,0.09552841292522664,0.09524797520950026
Región de Valparaíso,5,Transporte,11116.167717778486,4314.99472404,2.7664980743596286,2.6915436273786466,1.2933773486247646,1.2717574716074382
Región de Valparaíso,5,Uso No Energético,820.375072824,0.0,0,0.0,0,0.0
Región de Ñuble,16,Industria de la energía,87.05531841199999,0.0,0.00038695482964730594,0.00038563399418544,0,0.0
Región de Ñuble,16,Industrias manufactureras y de la construcción,2990.6111762504947,396.07794456000005,0.23690321923298877,0.18822991991858812,0.11712305500212496,0.11672322249689336
Región de Ñuble,16,Otros sectores,1544.7707748589057,70.80656671198,0.07294478689619538,0.04528564050219626,0.017907151116435913,0.017849385329943256
Región de Ñuble,16,Transporte,2407.8041810203263,1629.2685306000003,0.710363893619832,0.6922966561104374,0.48835144940750186,0.48018931638570067
Región del Biobío,8,Industria de la energía,23031.157252371097,0.0,6.096856353405029,6.027207984244273,0,0.0
Región del Biobío,8,Industrias manufactureras y de la construcción,15802.955673080627,2009.4900658893098,1.1033684382606774,0.7975345356792791,0.5937008079031995,0.5915799634699126
Región del Biobío,8,Otros sectores,6738.112805123658,1067.3401536109,0.46585237165179444,0.37252093142488046,0.29019567901822,0.2892424759888786
Región del Biobío,8,Transporte,9003.144529220792,4907.362782120001,2.5409964138623473,2.4729745538551375,1.4696204944745364,1.4453325799533516
Región del Biobío,8,Uso No Energético,643.7437954266,0.0,0,0.0,0,0.0
Región del Libertador Gral. Bernardo O’Higgins,6,Industria de la energía,5213.414653525949,0.0,0.36388969783363706,0.3296217474772367,0,0.0
Región del Libertador Gral. Bernardo O’Higgins,6,Industrias manufactureras y de la construcción,5260.276345868896,1814.4659677150858,0.39563945796279565,0.39055554239852697,0.4827542354285146,0.4814283135447572
Región del Libertador Gral. Bernardo O’Higgins,6,Otros sectores,2973.92095262612,149.50574141160124,0.09955390969934903,0.07083120921140752,0.04130224058009502,0.04116043173550736
Región del Libertador Gral. Bernardo O’Higgins,6,Transporte,4886.697261691563,3012.5094544500002,1.4366004008054063,1.3975627832147914,0.9015172157254976,0.8867551652561046
Región del Maule,7,Industria de la energía,5202.284115913432,0.0,0.055720028737273546,0.013202061708662212,0,0.0
Región del Maule,7,Industrias manufactureras y de la construcción,4404.46257254474,1261.8334133832002,0.46834464038497475,0.4270196285248183,0.3706353275601977,0.3693857571496171
Región del Maule,7,Otros sectores,3977.1444375706246,114.42075075721999,0.2864015117082587,0.24571312780921198,0.03207304183092645,0.03196187942084165
Región del Maule,7,Transporte,6443.066087968321,4101.437874,1.8941624016210847,1.842919151214899,1.2281737528235608,1.2078958539439315
