nombre_region,cod_region,Sector,Subsector,Energético,BNE Tcal,Emisiones BNE CO2eq (Millt),Emisiones BNE CO2 BNE ajustadas con PCI (Millt)
Región del Biobío,8,Industrial y Minero,Industrias Varias,Carbón,43.0108,0.017231332571649282,0.016172752413664
Región de La Araucanía,9,Industrial y Minero,Industrias Varias,Carbón,7.532,0.0030175304093312,0.00283215311456
Región de Los Lagos,10,Industrial y Minero,Industrias Varias,Carbón,820.842239,0.3288524186731291,0.3086498810072031
Región Metropolitana de Santiago,13,Industrial y Minero,Industrias Varias,Carbón,2.344811,0.0009393970388521376,0.00088168664056088
Región de Los Ríos,14,Industrial y Minero,Industrias Varias,Carbón,8.19812,0.0032843967604017916,0.0030826249457695997
Región Metropolitana de Santiago,13,Industrial y Minero,Industrias Varias,Coque Mineral,9.410037,0.004028192513735317,0.0040021226122332
Región de Valparaíso,5,Industrial y Minero,Industrias Varias,Coque de Petróleo,58.611654675000004,0.022773664173463083,0.02271453648771353
Región del Biobío,8,Industrial y Minero,Industrias Varias,Coque de Petróleo,30.598953416999997,0.01188927855803106,0.011858410204084428
Región Metropolitana de Santiago,13,Industrial y Minero,Industrias Varias,Gasolina de Aviación,0.5198810531506348,,
Región de La Araucanía,9,Industrial y Minero,Industrias Varias,Kerosene,0.3410889946749,9.782327456487506e-05,9.747918254082968e-05
Región Metropolitana de Santiago,13,Industrial y Minero,Industrias Varias,Kerosene,26.1348040297053,0.007495381411334638,0.007469016510217902
Región de Ñuble,16,Industrial y Minero,Industrias Varias,Kerosene,2.113838046,0.0006062422499342917,0.0006041098011508136
Región de Antofagasta,2,Industrial y Minero,Industrias Varias,Kerosene de Aviación,1.5734969570846555,0.00045099076618544106,0.00044718500290893634
Región del Biobío,8,Industrial y Minero,Industrias Varias,Kerosene de Aviación,1.10250339533226,0.00031599606770399077,0.00031332948044731675
Región de Magallanes y de la Antártica Chilena,12,Industrial y Minero,Industrias Varias,Kerosene de Aviación,2.85778935,0.0008190906266136191,0.00081217858924917
Región Metropolitana de Santiago,13,Industrial y Minero,Industrias Varias,Kerosene de Aviación,289.2748824587782,0.0829110601649984,0.08221140089999633
Región de Los Ríos,14,Industrial y Minero,Industrias Varias,Kerosene de Aviación,0.06530163300000001,1.8716549382081855e-05,1.85586065556606e-05
Región de Arica y Parinacota,15,Industrial y Minero,Industrias Varias,Kerosene de Aviación,2.4545430000000006,0.0007035134216313295,0.0006975767024226001
Región de Antofagasta,2,Industrial y Minero,Cobre,Carbón,18.62892192,0.007463268505928911,0.007004774194984473
Región de Atacama,3,Industrial y Minero,Cobre,Coque Mineral,0.189,8.09059927284e-05,8.03823804e-05
Región de Atacama,3,Industrial y Minero,Cobre,Coque de Petróleo,12.330787,0.004791149536549137,0.004778710186341
Región de Antofagasta,2,Industrial y Minero,Cobre,Kerosene,110.10153824999999,0.03157678252419271,0.03146571162557559
Región de Coquimbo,4,Industrial y Minero,Cobre,Kerosene,1.38776085,0.000398005543360688,0.000396605564331102
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Cobre,Kerosene,10.2119778,0.0029287638234471616,0.002918461936943736
