nombre_region,cod_region,Sector,Subsector,Energético,BNE Tcal,SEC Tcal,Emisiones BNE CO2eq (Millt),Emisiones BNE CO2 BNE ajustadas con PCI (Millt),Emisiones SEC CO2eq (Millt),Emisiones SEC CO2 ajustadas con PCI (Millt)
Región Metropolitana de Santiago,13,Industrial y Minero,Construcción,Kerosene Aviacion,2.06793,8.033271296383111,0.0005927036152937941,0.000587701983726,0.002304011891691542,0.0022845690904116055
Región de Atacama,3,Industrial y Minero,Hierro,Carbón,74.865,,0.029993018334384003,0.0281504438292,,
Región de La Araucanía,9,Industrial y Minero,Industria Lactea,Carbón,7.70952,,0.0030886498992760323,0.0028989034890816003,,
Región Metropolitana de Santiago,13,Industrial y Minero,Minas Varias,Carbón,8.577156,,0.0034362492107776893,0.00322514857666848,,
Región de Tarapacá,1,Industrial y Minero,Minas Varias,Kerosene Aviacion,56.103840000000005,155.23941519,0.016080306780144674,0.015944610341088003,0.04452401088682751,0.044148287350425634
Región de Antofagasta,2,Industrial y Minero,Minas Varias,Kerosene Aviacion,117.30557700000001,203.92597260693586,0.03362175682060057,0.033338033833361404,0.05848773788116524,0.057994179028870586
Región del Biobío,8,Industrial y Minero,Minas Varias,Kerosene Aviacion,9.053937,48.81784069705145,0.0025950110460906542,0.0025731125983134,0.014001380177879877,0.01388322711911094
Región de Los Lagos,10,Industrial y Minero,Pesca,Carbón,7.623,,0.0030539875611168,0.00286637057784,,
Región de Antofagasta,2,Industrial y Minero,Pesca,Coque de Petróleo,112.147,,0.043574919190103284,0.04346178482100001,,
Región del Biobío,8,Industrial y Minero,Pesca,Kerosene,0.40459500000000004,6.221951819999999,0.00011603660156288283,0.00011562844441140003,0.0017856308184083013,0.0017793498865417603
Región de Antofagasta,2,Industrial y Minero,Salitre,Kerosene Aviacion,97.327575,169.19588054495904,0.027895724502414437,0.027660321625365,0.04852684621473242,0.048117344062813226
Región Metropolitana de Santiago,13,Industrial y Minero,Siderurgia,Coque de Petróleo,37.5817467,,0.014602455486775663,0.014564542861358097,,
Región del Biobío,8,Industrial y Minero,Siderurgia,Gas Altos Hornos,69.59,,0.0681468672760992,0.06813250704,,
Región del Biobío,8,Industrial y Minero,Siderurgia,Gas Coque,588.641,,0.2507133266498046,0.2503511364076,,
Región Metropolitana de Santiago,13,Industrial y Minero,Siderurgia,Kerosene,0.1411587,0.5043417344964757,4.048388098971688e-05,4.0341479494643994e-05,0.000144740456078685,0.0001442313335133763
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Agroindustria,Biomasa,21.7771295,,0.0007523772108537271,0.0,,
Región de La Araucanía,9,Industrial y Minero,Agroindustria,Biomasa,11.665828000000001,,0.0004030422436042049,0.0,,
Región Metropolitana de Santiago,13,Industrial y Minero,Agroindustria,Biomasa,49.484417500000006,,0.0017096352400058682,0.0,,
Región de Los Ríos,14,Industrial y Minero,Industria Lactea,Biomasa,72.30365834999999,,0.0024980163158736693,0.0,,
Región del Maule,7,Industrial y Minero,Minas Varias,Biomasa,7.2503305,,0.00025049139003180875,0.0,,
Región del Maule,7,Industrial y Minero,Papel y Celulosa,Biomasa,1054.28628872,,0.03642449650439379,0.0,,
Región del Biobío,8,Industrial y Minero,Papel y Celulosa,Biomasa,7282.390150816198,,0.251599017676767,0.0,,
Región Metropolitana de Santiago,13,Industrial y Minero,Papel y Celulosa,Biomasa,226.933,,0.007840299502772801,0.0,,
Región de Los Ríos,14,Industrial y Minero,Papel y Celulosa,Biomasa,1077.5308268175,,0.03722757115853405,0.0,,
Región Aisén del Gral.Carlos Ibáñez del Campo,11,Industrial y Minero,Pesca,Biomasa,0.217777,,7.5239692103632e-06,0.0,,
Región de Valparaíso,5,Industrial y Minero,Agroindustria,Gas Natural,7.591208851249999,7.53050045546611,0.0016052105674115333,0.0016036440844199786,0.0015934390234574971,0.0015918840280076786
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Agroindustria,Gas Natural,0.512839582,0.3381295216568338,0.00010844327070223598,0.00010833744375183312,7.154753896866565e-05,7.147771759746528e-05
Región Metropolitana de Santiago,13,Industrial y Minero,Agroindustria,Gas Natural,186.72415199900001,197.44956888124221,0.03948403842563193,0.03944550698565308,0.041779938807633525,0.04173916685854532
Región Metropolitana de Santiago,13,Industrial y Minero,Azúcar,Gas Natural,10.112501213,10.693362285713217,0.0021383542632207523,0.002136267499246444,0.0022626943400097617,0.0022604862358079386
Región de Valparaíso,5,Industrial y Minero,Cemento,Gas Natural,51.06472493,50.65635024391354,0.010797968767003651,0.010787431311818488,0.010718783664104621,0.010708323483589457
Región del Biobío,8,Industrial y Minero,Cemento,Gas Natural,25.9662075,0.0,0.005490723742600918,0.0054853654889682,0.0,0.0
Región de Los Lagos,10,Industrial y Minero,Cemento,Gas Natural,16.550569035,2.331636077275757,0.0034997256474219446,0.0034963103567347957,0.0004933695889143382,0.0004928881224417926
Región Metropolitana de Santiago,13,Industrial y Minero,Cemento,Gas Natural,27.184916139,28.746415041943898,0.005748427624058006,0.005742817883950332,0.006082684648015708,0.006076748715224365
Región de Antofagasta,2,Industrial y Minero,Cobre,Gas Natural,691.712122337,0.0,0.14626703468963023,0.14612429651763084,0.0,0.0
Región de Valparaíso,5,Industrial y Minero,Cobre,Gas Natural,503.920197376,499.8902480773767,0.10655720871477067,0.10645322232291157,0.10577578919793562,0.10567256537293673
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Cobre,Gas Natural,311.319603595,205.261747222102,0.06583055839002182,0.06576631607058032,0.04343298031531974,0.04339059520627689
Región Metropolitana de Santiago,13,Industrial y Minero,Cobre,Gas Natural,20.524316089,21.703230781720706,0.004340000350475453,0.0043357650576918245,0.004592360769010429,0.004587879204297497
Región de Coquimbo,4,Industrial y Minero,Construcción,Gas Natural,41.76045075287991,0.0,0.008830519376021858,0.008821901903218002,0.0,0.0
Región Metropolitana de Santiago,13,Industrial y Minero,Construcción,Gas Natural,468.068206364,494.9539979920919,0.09897607164386407,0.098879483485308,0.10473128842910172,0.10462908390507324
Región de La Araucanía,9,Industrial y Minero,Industria Lactea,Gas Natural,36.401241812,0.0,0.007697279730869656,0.00768976815698369,0.0,0.0
Región de Los Lagos,10,Industrial y Minero,Industria Lactea,Gas Natural,36.49525,5.141432984524454,0.00771715837467432,0.00770962740174,0.0010879170650718358,0.0010868553952739566
Región Metropolitana de Santiago,13,Industrial y Minero,Industria Lactea,Gas Natural,107.06128600612,113.21087571945687,0.02263880641742505,0.02261671379859861,0.023955197708040464,0.023931820457397588
Región de Los Ríos,14,Industrial y Minero,Industria Lactea,Gas Natural,24.314623,,0.005141485440201091,0.00513646799908968,,
Región de Antofagasta,2,Industrial y Minero,Minas Varias,Gas Natural,58.946,0.0,0.012464515726116482,0.012452351931360002,0.0,0.0
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Minas Varias,Gas Natural,61.225883412,40.36794233077866,0.012946611926750725,0.012933977666926348,0.008541776869537832,0.008533441172990952
Región del Biobío,8,Industrial y Minero,Minas Varias,Gas Natural,3.507414726,0.0,0.00074166569419875,0.0007409419220538561,0.0,0.0
Región Metropolitana de Santiago,13,Industrial y Minero,Minas Varias,Gas Natural,203.16930943399998,214.83933453802928,0.04296147410348995,0.042919549125022015,0.045459578875405145,0.04541521606185452
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Papel y Celulosa,Gas Natural,36.948596389,24.361246014165864,0.007813021422125694,0.007805396898951673,0.005154791542551948,0.0051497611163634155
Región del Biobío,8,Industrial y Minero,Papel y Celulosa,Gas Natural,118.66974538,0.0,0.025093490779751784,0.025069002698684263,0.0,0.0
Región Metropolitana de Santiago,13,Industrial y Minero,Papel y Celulosa,Gas Natural,1159.77488076692,1226.3922355794061,0.24524195433234047,0.2450026291259928,0.2595021748945036,0.25924893351203554
Región del Biobío,8,Industrial y Minero,Pesca,Gas Natural,35.06075,0.0,0.0074138240040789605,0.00740658904722,0.0,0.0
Región de Valparaíso,5,Industrial y Minero,Petroquímica,Gas Natural,21.623181988,21.450257132952917,0.00457236270379847,0.0045679006546741185,0.004538832044560194,0.004534402717128845
Región de Antofagasta,2,Industrial y Minero,Salitre,Gas Natural,707.0762267103,0.0,0.14951587465466082,0.14936996602474717,0.0,0.0
Región Metropolitana de Santiago,13,Industrial y Minero,Salitre,Gas Natural,2.151129549,2.2746902182210778,0.0004548703574869263,0.00045442646140697796,0.0004813199576078065,0.00048085025005516793
Región del Biobío,8,Industrial y Minero,Siderurgia,Gas Natural,38.36,0.0,0.008111471910796801,0.0081035561376,0.0,0.0
Región Metropolitana de Santiago,13,Industrial y Minero,Siderurgia,Gas Natural,166.31988644199998,175.87328432224413,0.03516942354226268,0.035135102622054326,0.037214439608629364,0.03717812301075077
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Agroindustria,Petróleo Combustible,0.517125,,,,,
Región del Maule,7,Industrial y Minero,Agroindustria,Petróleo Combustible,4.2525,,,,,
Región del Biobío,8,Industrial y Minero,Agroindustria,Petróleo Combustible,29.84331,,,,,
Región de Los Ríos,14,Industrial y Minero,Agroindustria,Petróleo Combustible,33.590256,,,,,
Región de Ñuble,16,Industrial y Minero,Agroindustria,Petróleo Combustible,44.832501,,,,,
Región de Ñuble,16,Industrial y Minero,Azúcar,Petróleo Combustible,6.0383715,,,,,
Región de Antofagasta,2,Industrial y Minero,Cemento,Petróleo Combustible,0.85806,,,,,
Región del Biobío,8,Industrial y Minero,Cemento,Petróleo Combustible,0.22449,,,,,
Región Metropolitana de Santiago,13,Industrial y Minero,Cemento,Petróleo Combustible,3.8418744,,,,,
Región de Tarapacá,1,Industrial y Minero,Cobre,Petróleo Combustible,86.6258925,,,,,
Región de Antofagasta,2,Industrial y Minero,Cobre,Petróleo Combustible,200.856474,,,,,
Región de Atacama,3,Industrial y Minero,Cobre,Petróleo Combustible,297.60105899999996,,,,,
Región de Valparaíso,5,Industrial y Minero,Cobre,Petróleo Combustible,0.40383,,,,,
Región de Antofagasta,2,Industrial y Minero,Construcción,Petróleo Combustible,0.431676,,,,,
Región de Valparaíso,5,Industrial y Minero,Construcción,Petróleo Combustible,3.395826,,,,,
Región del Maule,7,Industrial y Minero,Construcción,Petróleo Combustible,6.667185,,,,,
