año,combustible,tcal_nacional,tcal_regional,diferencia tcal
2018,biomasa,39060.578349999996,39060.57835675062,-6.750626198481768e-06
2018,carbon,1687.552445,1687.55244504,-4.000003173132427e-08
2018,coque mineral,129.802239,129.80223900000001,-2.842170943040401e-14
2018,coque de petroleo,2097.596587,2097.5965865398575,4.6014247345738113e-07
2018,d.i. de petroleo,2027.20929,4118.086651137361,-2090.877361137361
2018,electricidad,65471.02013799999,65471.02014532878,-7.328788342420012e-06
2018,gas coque,853.3000000000001,853.3,1.1368683772161603e-13
2018,gas corriente,13.536534216,13.5365342156,4.000000330961484e-10
2018,gas licuado,16429.7993581,16429.7993586683,-5.682995833922178e-07
2018,gas natural,19456.1968973,19456.196898219205,-9.19204467209056e-07
2018,gas de altos hornos,570.627,570.627,0.0
