Region,Año,variable,factor,pib,valor_salitre,demanda,demanda_regional
VII,2017,manufactura,0.08918150093364743,5900.256123685504,,33099.1337383063,2951.8304263856844
VII,2018,manufactura,0.09559152991008724,6241.735053377471,,33734.22915121917,3224.706574902504
VII,2019,manufactura,0.08217011345599867,6252.177951328197,,32710.83307472654,2687.852864990514
VII,2020,manufactura,0.0652246869623948,6011.291587720465,,30412.88599594869,1983.6709687087541
VII,2021,manufactura,0.05631628748225003,6646.204017230492,,30504.20938061051,1717.8838248972097
VII,2022,manufactura,0.05631628748225003,6777.185156782512,,32993.04784902278,1858.045967581198
VII,2023,manufactura,0.05631628748225003,6783.052886542418,,,
VII,2024,manufactura,0.05631628748225003,6902.079603063282,,,
VII,2025,manufactura,0.05631628748225003,7035.963807390098,,,
VII,2026,manufactura,0.05631628748225003,7174.168863335939,,,
VII,2027,manufactura,0.05631628748225003,7517.194033970676,,,
VII,2028,manufactura,0.05631628748225003,7651.095267316329,,,
VII,2029,manufactura,0.05631628748225003,7794.529596057289,,,
VII,2030,manufactura,0.05631628748225003,7940.742913352216,,,
VII,2031,manufactura,0.05631628748225003,8092.384767636363,,,
VII,2032,manufactura,0.05631628748225003,8247.532273967388,,,
VII,2033,manufactura,0.05631628748225003,8405.23327940206,,,
VII,2034,manufactura,0.05631628748225003,8564.690124474751,,,
VII,2035,manufactura,0.05631628748225003,8725.15333196458,,,
VII,2036,manufactura,0.05631628748225003,8884.017971051904,,,
VII,2037,manufactura,0.05631628748225003,9045.775163724491,,,
VII,2038,manufactura,0.05631628748225003,9210.477576619118,,,
VII,2039,manufactura,0.05631628748225003,9378.178835308863,,,
VII,2040,manufactura,0.05631628748225003,9548.933541763088,,,
VII,2041,manufactura,0.05631628748225003,9718.022825354456,,,
VII,2042,manufactura,0.05631628748225003,9885.247273343502,,,
VII,2043,manufactura,0.05631628748225003,10050.40663940449,,,
VII,2044,manufactura,0.05631628748225003,10213.30022894042,,,
VII,2045,manufactura,0.05631628748225003,10378.83394264882,,,
VII,2046,manufactura,0.05631628748225003,10541.86115379748,,,
VII,2047,manufactura,0.05631628748225003,10702.17821063002,,,
VII,2048,manufactura,0.05631628748225003,10864.93331500811,,,
VII,2049,manufactura,0.05631628748225003,11024.73107727622,,,
VII,2050,manufactura,0.05631628748225003,11186.87909095273,,,
VII,2017,mineral,0.001930008833634295,5900.256123685504,,,
VII,2018,mineral,0.005342720905454223,6241.735053377471,,,
VII,2019,mineral,0.005173720845093683,6252.177951328197,,,
VII,2020,mineral,0.004774125084419066,6011.291587720465,,,
VII,2021,mineral,0.001650474049323882,6646.204017230492,,,
VII,2022,mineral,0.001650474049323882,6777.185156782512,,,
VII,2023,mineral,0.001650474049323882,6783.052886542418,,,
VII,2024,mineral,0.001650474049323882,6902.079603063282,,,
VII,2025,mineral,0.001650474049323882,7035.963807390098,,,
VII,2026,mineral,0.001650474049323882,7174.168863335939,,,
VII,2027,mineral,0.001650474049323882,7517.194033970676,,,
VII,2028,mineral,0.001650474049323882,7651.095267316329,,,
VII,2029,mineral,0.001650474049323882,7794.529596057289,,,
VII,2030,mineral,0.001650474049323882,7940.742913352216,,,
VII,2031,mineral,0.001650474049323882,8092.384767636363,,,
VII,2032,mineral,0.001650474049323882,8247.532273967388,,,
VII,2033,mineral,0.001650474049323882,8405.23327940206,,,
VII,2034,mineral,0.001650474049323882,8564.690124474751,,,
VII,2035,mineral,0.001650474049323882,8725.15333196458,,,
VII,2036,mineral,0.001650474049323882,8884.017971051904,,,
VII,2037,mineral,0.001650474049323882,9045.775163724491,,,
VII,2038,mineral,0.001650474049323882,9210.477576619118,,,
VII,2039,mineral,0.001650474049323882,9378.178835308863,,,
VII,2040,mineral,0.001650474049323882,9548.933541763088,,,
VII,2041,mineral,0.001650474049323882,9718.022825354456,,,
VII,2042,mineral,0.001650474049323882,9885.247273343502,,,
VII,2043,mineral,0.001650474049323882,10050.40663940449,,,
VII,2044,mineral,0.001650474049323882,10213.30022894042,,,
VII,2045,mineral,0.001650474049323882,10378.83394264882,,,
VII,2046,mineral,0.001650474049323882,10541.86115379748,,,
VII,2047,mineral,0.001650474049323882,10702.17821063002,,,
VII,2048,mineral,0.001650474049323882,10864.93331500811,,,
VII,2049,mineral,0.001650474049323882,11024.73107727622,,,
VII,2050,mineral,0.001650474049323882,11186.87909095273,,,
VII,2017,salitre,0.0,5900.256123685504,0.0,2057.0,0.0
VII,2018,salitre,0.0,6241.735053377471,0.0,1666.0,0.0
VII,2019,salitre,0.0,6252.177951328197,0.0,1195.0,0.0
VII,2020,salitre,0.0,6011.291587720465,0.0,1659.791,0.0
VII,2021,salitre,0.0,6646.204017230492,0.0,1577.654,0.0
VII,2022,salitre,0.0,6777.185156782512,0.0,1374.882,0.0
VII,2023,salitre,0.0,6783.052886542418,0.0,1680.0,0.0
VII,2024,salitre,0.0,6902.079603063282,0.0,1740.0,0.0
VII,2025,salitre,0.0,7035.963807390098,0.0,1800.0,0.0
VII,2026,salitre,0.0,7174.168863335939,0.0,1880.0,0.0
VII,2027,salitre,0.0,7517.194033970676,0.0,1950.0,0.0
VII,2028,salitre,0.0,7651.095267316329,0.0,2050.0,0.0
VII,2029,salitre,0.0,7794.529596057289,0.0,2150.0,0.0
VII,2030,salitre,0.0,7940.742913352216,0.0,2250.0,0.0
VII,2031,salitre,0.0,8092.384767636363,0.0,2275.0,0.0
VII,2032,salitre,0.0,8247.532273967388,0.0,2300.0,0.0
VII,2033,salitre,0.0,8405.23327940206,0.0,2330.0,0.0
VII,2034,salitre,0.0,8564.690124474751,0.0,2360.0,0.0
VII,2035,salitre,0.0,8725.15333196458,0.0,2400.0,0.0
VII,2036,salitre,0.0,8884.017971051904,0.0,2415.0,0.0
VII,2037,salitre,0.0,9045.775163724491,0.0,2430.0,0.0
VII,2038,salitre,0.0,9210.477576619118,0.0,2445.0,0.0
VII,2039,salitre,0.0,9378.178835308863,0.0,2460.0,0.0
VII,2040,salitre,0.0,9548.933541763088,0.0,2475.0,0.0
VII,2041,salitre,0.0,9718.022825354456,0.0,2490.0,0.0
VII,2042,salitre,0.0,9885.247273343502,0.0,2505.0,0.0
